,Ingham,Kent,Macomb,Oakland,Washtenaw,Wayne
2020-09-30,11.23,55.07,84.03,67.88,32.29,50.51
2020-10-01,14.94,57.21,83.21,69.27,28.85,56.29
2020-10-02,18.34,60.12,85.6,72.49,36.32,49.83
2020-10-03,14.9,55.37,74.81,76.03,34.36,42.18
2020-10-04,14.94,44.27,55.77,53.32,27.08,34.12
2020-10-05,14.22,51.34,75.77,69.44,30.01,48.63
2020-10-06,16.19,55.85,79.66,73.66,29.58,50.14
2020-10-07,16.98,52.23,76.11,77.69,27.22,53.13
2020-10-08,18.53,64.93,81.64,71.46,29.07,55.31
2020-10-09,15.89,60.95,90.78,80.33,34.14,61.46
2020-10-10,14.71,59.41,80.61,81.05,34.0,58.18
2020-10-11,13.31,45.16,80.48,59.59,26.24,50.43
2020-10-12,17.59,51.04,71.33,69.04,24.72,51.83
2020-10-13,16.07,57.03,76.04,70.92,26.6,56.68
2020-10-14,14.94,55.96,87.58,62.41,25.84,54.02
2020-10-15,13.2,54.36,71.06,70.83,25.73,52.81
2020-10-16,16.38,52.11,82.18,75.04,34.69,56.93
2020-10-17,12.33,53.23,71.47,78.36,35.88,55.25
2020-10-18,12.67,40.18,61.09,59.36,26.79,44.1
2020-10-19,15.54,52.34,71.95,64.56,25.66,53.1
2020-10-20,15.73,49.73,74.88,64.2,30.08,55.86
2020-10-21,15.77,49.97,80.34,59.59,27.26,55.85
2020-10-22,13.77,50.33,75.36,64.61,27.08,54.25
2020-10-23,13.5,55.43,83.82,69.35,29.36,56.55
2020-10-24,16.34,54.9,81.77,65.95,28.6,55.76
2020-10-25,11.08,39.7,61.09,54.35,20.77,47.75
2020-10-26,13.99,52.76,75.29,59.95,22.73,58.48
2020-10-27,14.79,48.19,71.4,62.72,23.02,58.76
2020-10-28,13.46,50.68,79.39,69.49,24.72,55.57
2020-10-29,14.37,51.04,69.42,69.18,21.86,59.24
2020-10-30,16.83,49.38,77.95,78.9,30.99,57.98
2020-10-31,16.53,55.85,82.46,73.92,20.95,55.22
2020-11-01,12.37,37.15,53.31,46.42,19.28,45.26
2020-11-02,12.22,70.62,75.49,68.15,23.41,58.83
2020-11-03,15.2,55.43,82.66,66.89,26.06,57.26
2020-11-04,14.45,50.27,76.66,58.33,19.32,53.49
2020-11-05,14.83,48.9,72.49,65.23,19.79,53.06
2020-11-06,14.37,55.43,77.88,67.25,31.32,58.72
2020-11-07,14.64,50.09,70.72,65.95,25.77,49.07
2020-11-08,12.18,41.07,66.83,51.52,23.05,50.94
2020-11-09,12.67,45.52,77.61,63.26,27.4,59.31
2020-11-10,14.3,46.05,85.6,59.59,27.84,57.46
2020-11-11,12.82,47.3,74.13,57.21,28.16,55.09
2020-11-12,12.48,41.31,66.28,51.7,24.68,51.37
2020-11-13,12.71,46.65,69.35,58.2,24.14,56.33
2020-11-14,14.45,38.93,64.16,55.42,18.67,50.72
2020-11-15,10.55,29.97,43.14,41.85,18.99,37.04
2020-11-16,11.46,39.82,67.65,57.35,20.12,52.8
2020-11-17,14.03,42.14,66.14,55.06,21.2,50.19
2020-11-18,12.44,39.7,61.91,53.36,20.33,48.0
2020-11-19,12.1,38.81,65.53,53.36,18.19,47.49
2020-11-20,13.65,40.83,70.92,60.98,19.79,53.13
2020-11-21,13.09,32.82,60.89,53.94,19.28,47.17
2020-11-22,7.45,28.78,46.76,40.68,11.96,35.28
2020-11-23,14.83,43.68,71.4,57.84,16.56,48.6
2020-11-24,10.67,35.91,62.87,54.39,14.32,47.94
2020-11-25,13.39,35.96,61.91,56.14,16.85,45.3
2020-11-26,6.05,21.6,41.43,33.29,6.67,35.44
2020-11-27,10.25,31.87,57.2,49.42,14.86,45.75
2020-11-28,8.36,37.45,65.19,51.52,14.79,46.13
2020-11-29,10.63,29.79,51.6,46.82,14.97,42.7
2020-11-30,10.67,39.35,59.73,50.76,18.34,45.65
2020-12-01,12.93,36.74,58.7,52.33,16.35,45.55
2020-12-02,12.75,40.06,66.01,55.51,16.67,46.73
2020-12-03,9.64,31.34,58.43,52.64,14.9,43.78
2020-12-04,13.09,40.06,69.49,58.29,17.11,47.42
2020-12-05,10.59,37.69,64.3,46.15,12.79,43.89
2020-12-06,8.13,31.69,51.74,47.04,15.77,39.4
2020-12-07,10.93,42.08,66.01,54.75,13.12,49.49
2020-12-08,10.25,38.58,62.87,55.06,14.75,47.1
2020-12-09,13.05,35.96,63.96,53.23,16.17,45.45
2020-12-10,12.56,36.32,60.41,56.45,15.37,46.92
2020-12-11,11.54,32.7,70.58,53.9,15.8,48.42
2020-12-12,9.68,33.0,56.86,49.28,17.72,41.31
2020-12-13,9.27,31.45,52.97,43.46,13.85,39.51
2020-12-14,13.92,39.88,62.94,52.64,15.98,49.67
2020-12-15,11.95,43.09,60.61,52.64,17.76,46.29
2020-12-16,13.16,37.98,61.84,52.69,17.36,44.96
2020-12-17,10.51,33.41,65.05,48.34,18.92,44.44
2020-12-18,15.28,35.49,71.06,56.68,15.95,46.37
2020-12-19,10.17,32.28,55.22,48.34,14.75,40.66
2020-12-20,7.15,30.56,50.92,47.45,12.76,38.54
2020-12-21,13.46,38.22,65.05,54.35,11.78,48.53
2020-12-22,11.99,39.47,65.67,57.39,15.44,47.63
2020-12-23,10.7,38.16,60.27,61.34,15.73,46.83
2020-12-24,8.55,26.82,52.29,42.38,10.8,36.9
2020-12-25,5.37,18.34,31.4,25.81,8.26,26.34
2020-12-26,9.34,27.42,47.3,44.09,14.57,37.79
2020-12-27,8.89,28.19,48.33,42.29,11.63,34.95
2020-12-28,13.31,38.58,59.86,55.56,11.49,45.61
2020-12-29,10.17,37.69,56.72,55.06,16.17,46.66
2020-12-30,10.48,37.09,54.74,50.49,15.04,41.55
2020-12-31,8.13,34.42,58.29,48.48,12.98,40.98
2021-01-01,9.0,27.3,47.92,38.8,10.33,33.29
2021-01-02,12.71,36.44,52.63,48.39,17.14,39.05
2021-01-03,9.72,30.21,54.54,42.34,11.13,37.2
2021-01-04,10.17,32.58,61.5,52.64,18.05,45.15
2021-01-05,12.52,44.21,83.96,66.85,18.45,48.68
2021-01-06,13.01,34.78,63.41,44.04,13.63,45.36
2021-01-07,11.04,36.2,60.14,48.3,15.66,44.79
2021-01-08,11.65,35.49,64.16,52.28,16.82,48.0
2021-01-09,10.48,40.83,62.53,48.03,16.56,45.0
2021-01-10,9.72,29.61,48.46,42.88,17.8,37.61
2021-01-11,13.12,38.46,62.8,51.08,18.41,48.35
2021-01-12,15.73,38.16,61.43,57.8,18.05,49.82
2021-01-13,11.65,35.37,63.62,58.69,22.15,51.54
2021-01-14,11.61,44.21,69.42,63.04,21.89,47.85
2021-01-15,14.83,40.47,63.75,62.99,20.95,45.54
2021-01-16,16.57,34.24,59.04,57.3,22.76,45.02
2021-01-17,14.94,30.5,51.6,50.0,22.0,39.97
2021-01-18,20.65,41.01,65.53,58.92,25.81,46.52
2021-01-19,16.94,44.09,66.01,57.89,22.83,49.33
2021-01-20,17.13,43.68,61.77,53.76,23.85,46.2
2021-01-21,19.44,38.99,64.57,51.12,23.34,44.57
2021-01-22,16.41,38.46,61.43,56.05,23.89,45.79
2021-01-23,17.4,36.26,55.9,55.87,20.26,44.9
2021-01-24,13.96,30.33,48.33,56.23,20.51,37.93
2021-01-25,14.75,42.61,60.48,53.76,24.9,47.34
2021-01-26,17.44,38.52,61.98,61.83,22.54,44.18
2021-01-27,15.09,41.6,62.25,56.45,23.38,51.44
2021-01-28,14.56,43.2,57.06,55.42,19.83,45.9
2021-01-29,17.06,38.28,66.62,54.75,22.25,45.04
2021-01-30,15.13,39.58,57.13,67.38,20.19,40.84
2021-01-31,12.41,27.77,48.05,49.87,20.41,37.08
2021-02-01,15.92,37.21,68.12,58.6,20.8,47.46
2021-02-02,14.98,40.95,68.26,61.2,19.35,48.21
2021-02-03,15.77,45.82,64.37,53.18,18.7,46.59
2021-02-04,13.65,41.13,62.25,66.85,23.09,46.36
2021-02-05,14.9,38.52,54.81,57.97,21.53,45.55
2021-02-06,13.35,40.36,52.56,63.17,18.96,38.43
2021-02-07,9.72,31.75,51.33,50.31,15.15,36.86
2021-02-08,14.64,47.24,60.75,52.73,18.09,42.16
2021-02-09,11.69,45.99,61.98,57.57,18.74,45.15
2021-02-10,15.09,46.59,59.45,54.53,18.96,48.07
2021-02-11,13.05,44.45,55.29,57.93,19.25,44.75
2021-02-12,17.4,45.99,64.91,60.75,23.23,45.94
2021-02-13,16.41,41.96,54.54,64.43,20.95,44.35
2021-02-14,11.69,30.92,52.35,48.25,19.75,39.76
2021-02-15,16.19,42.37,62.66,53.76,18.48,42.78
2021-02-16,16.98,39.23,49.49,55.73,21.82,40.88
2021-02-17,17.4,39.7,64.03,56.18,24.39,46.69
2021-02-18,16.68,39.47,58.98,52.11,21.17,43.56
2021-02-19,16.23,38.64,62.18,55.38,25.52,45.97
2021-02-20,14.07,40.77,63.89,57.8,21.09,42.66
2021-02-21,14.56,35.49,52.56,60.48,16.85,37.79
2021-02-22,17.47,43.8,68.6,56.32,19.35,46.49
2021-02-23,14.67,43.26,66.01,56.5,23.89,46.37
2021-02-24,16.75,44.87,63.55,62.86,26.75,48.41
2021-02-25,14.86,39.35,71.6,65.95,19.93,49.32
2021-02-26,16.04,43.68,78.63,67.61,24.65,51.84
2021-02-27,15.73,41.07,71.81,70.34,24.28,49.32
2021-02-28,13.88,39.82,59.45,51.57,21.6,43.82
2021-03-01,16.72,41.9,68.05,63.26,21.71,51.07
2021-03-02,17.32,44.51,73.58,66.58,22.18,49.85
2021-03-03,20.39,44.45,70.92,64.52,25.34,54.82
2021-03-04,16.34,47.66,76.31,67.07,20.33,47.52
2021-03-05,16.41,47.18,74.13,64.52,28.45,49.33
2021-03-06,14.07,43.92,69.15,67.74,25.66,48.73
2021-03-07,11.76,36.91,60.07,54.39,19.03,41.48
2021-03-08,15.54,42.85,74.4,60.04,21.49,52.8
2021-03-09,15.05,43.62,69.42,55.6,23.63,50.14
2021-03-10,16.19,47.18,71.33,62.23,25.63,50.1
2021-03-11,17.66,47.48,73.45,66.71,21.78,49.96
2021-03-12,,,,,,
2021-03-13,16.07,47.0,68.05,65.59,27.44,50.25
2021-03-14,15.85,36.26,55.43,57.89,22.8,44.68
2021-03-15,16.04,40.36,67.17,55.02,25.95,47.39
2021-03-16,15.58,48.07,61.5,65.28,27.69,48.13
2021-03-17,15.24,46.35,67.65,60.93,25.34,48.36
2021-03-18,14.71,45.64,71.54,58.51,23.23,43.18
2021-03-19,16.45,52.52,60.34,73.88,27.18,49.1
2021-03-20,13.65,54.24,65.05,66.17,31.75,45.26
2021-03-21,14.6,41.54,58.91,53.27,23.74,40.55
2021-03-22,15.62,53.83,75.49,60.66,30.41,47.21
2021-03-23,16.72,54.12,70.92,64.96,29.5,46.59
2021-03-24,16.64,54.9,61.5,66.76,25.7,48.43
2021-03-25,18.84,50.62,64.44,63.58,28.6,45.62
2021-03-26,16.23,55.31,69.08,64.83,28.49,47.34
2021-03-27,16.68,47.89,66.48,68.59,27.84,43.64
2021-03-28,11.46,38.52,54.47,52.42,23.45,37.51
2021-03-29,18.15,49.26,69.76,57.44,28.38,46.29
2021-03-30,17.32,51.22,70.31,62.5,25.15,47.38
2021-03-31,15.02,51.75,71.19,56.23,26.24,44.96
2021-04-01,13.92,51.51,62.25,64.25,26.53,41.91
2021-04-02,17.66,53.47,59.45,69.27,30.3,44.6
2021-04-03,14.98,46.17,58.77,64.56,31.42,42.7
2021-04-04,10.51,39.35,61.5,46.68,18.99,38.61
2021-04-05,18.42,56.44,60.27,63.53,27.62,45.07
2021-04-06,19.02,50.98,69.35,60.44,31.97,46.05
2021-04-07,18.34,58.22,70.99,67.92,34.98,50.61
2021-04-08,17.28,55.31,68.4,56.72,26.13,44.08
2021-04-09,21.14,49.26,70.31,65.01,30.19,48.88
2021-04-10,15.09,51.75,63.34,63.13,27.33,46.9
2021-04-11,16.98,41.07,52.9,50.76,20.88,38.46
2021-04-12,17.17,51.69,67.99,56.41,26.86,47.46
2021-04-13,19.14,51.34,68.33,54.35,26.53,47.08
2021-04-14,22.24,56.14,61.91,54.48,32.15,42.99
2021-04-15,14.26,50.39,68.67,54.7,29.25,46.22
2021-04-16,17.97,43.92,69.35,59.77,36.53,45.32
2021-04-17,19.1,49.79,69.9,63.35,27.15,45.34
2021-04-18,13.31,44.04,52.97,51.39,24.39,37.75
2021-04-19,19.18,49.73,67.78,55.29,28.05,49.27
2021-04-20,20.42,45.93,61.02,49.24,25.55,42.34
2021-04-21,18.38,50.8,62.66,57.39,30.45,41.1
