STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/4/2020,0,32,16
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/5/2020,1.12,33,16
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/6/2020,0.1,26,4
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/7/2020,0,45,13
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/8/2020,0,54,30
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/9/2020,0,40,17
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/10/2020,0,33,17
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/11/2020,0.01,42,26
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/12/2020,0.53,34,31
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/13/2020,0.02,33,21
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/14/2020,0,24,17
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/15/2020,0,32,15
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/16/2020,0,32,21
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/17/2020,0.02,34,18
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/18/2020,0,38,22
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/19/2020,0.57,35,29
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/20/2020,0.43,31,3
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/21/2020,0,30,-5
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/22/2020,0,33,10
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/23/2020,0.02,38,21
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/24/2020,0,46,14
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/25/2020,0,40,21
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/26/2020,0,37,25
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/27/2020,0,48,21
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/28/2020,0.26,45,31
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/29/2020,1.18,35,31
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/30/2020,0,34,29
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",3/31/2020,0,33,28
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/1/2020,0,44,26
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/2/2020,0,53,20
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/3/2020,0,56,27
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/4/2020,0.21,38,19
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/5/2020,0,50,15
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/6/2020,0,47,30
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/7/2020,0.06,46,34
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/8/2020,0,51,30
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/9/2020,0.12,33,27
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/10/2020,0,33,22
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/11/2020,0,52,20
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/12/2020,1.1,38,27
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/13/2020,0.94,29,17
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/14/2020,0,26,7
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/15/2020,0,29,8
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/16/2020,0,34,12
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/17/2020,0,40,9
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/18/2020,0,52,20
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/19/2020,0.08,34,19
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/20/2020,0.02,45,24
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/21/2020,0,29,14
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/22/2020,0,35,11
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/23/2020,0,43,18
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/24/2020,0,50,21
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/25/2020,0,53,25
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/26/2020,0,47,27
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/27/2020,0.27,50,27
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/28/2020,0.15,44,36
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/29/2020,0.97,39,35
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",4/30/2020,0,53,34
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/1/2020,0.08,67,29
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/2/2020,0.14,69,42
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/3/2020,0.01,46,32
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/4/2020,0.01,39,26
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/5/2020,0,50,23
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/6/2020,0,54,28
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/7/2020,0.13,39,24
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/8/2020,0.13,31,21
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/9/2020,0.01,47,25
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/10/2020,0.03,33,26
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/11/2020,0,40,27
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/12/2020,0,43,26
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/13/2020,0,57,24
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/14/2020,0.55,52,36
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/15/2020,0.01,54,37
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/16/2020,0,57,31
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/17/2020,0,51,43
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/18/2020,0,53,42
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/19/2020,0,64,44
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/20/2020,0,73,43
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/21/2020,0,78,44
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/22/2020,0,79,54
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/23/2020,0,72,55
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/24/2020,0.01,76,57
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/25/2020,0.01,86,58
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/26/2020,0.3,87,62
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/27/2020,0.41,83,61
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/28/2020,1.13,67,48
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/29/2020,0,59,46
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/30/2020,0.04,49,36
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",5/31/2020,0,69,35
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/1/2020,0.07,72,44
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/2/2020,0.16,87,57
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/3/2020,0,76,53
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/4/2020,0,80,47
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/5/2020,0,73,48
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/6/2020,0,57,40
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/7/2020,0.02,59,35
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/8/2020,0,86,49
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/9/2020,0,87,61
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/10/2020,0.8,72,51
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/11/2020,0,65,40
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/12/2020,0,52,36
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/13/2020,0,60,34
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/14/2020,0,69,34
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/15/2020,0,75,46
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/16/2020,0,84,58
USW00094850,"MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US",6/17/2020,0,85,60
